# m h(m) T/T_c 
0.490000 1.421536 1.000000
0.500000 1.425883 1.000000
0.510000 1.430170 1.000000
0.520000 1.434398 1.000000
0.530000 1.438626 1.000000
0.540000 1.442794 1.000000
0.550000 1.446903 1.000000
0.560000 1.450952 1.000000
0.570000 1.455001 1.000000
0.580000 1.458990 1.000000
0.590000 1.462980 1.000000
0.600000 1.466850 1.000000
0.610000 1.470780 1.000000
0.620000 1.474591 1.000000
0.630000 1.478402 1.000000
0.640000 1.482213 1.000000
0.650000 1.485964 1.000000
0.660000 1.489715 1.000000
0.670000 1.493407 1.000000
0.680000 1.497039 1.000000
0.690000 1.500672 1.000000
0.700000 1.504304 1.000000
0.710000 1.507877 1.000000
0.720000 1.511449 1.000000
0.730000 1.515022 1.000000
0.740000 1.518535 1.000000
0.750000 1.522048 1.000000
0.760000 1.525502 1.000000
0.770000 1.528956 1.000000
0.780000 1.532409 1.000000
0.790000 1.535803 1.000000
0.800000 1.539197 1.000000
0.810000 1.542591 1.000000
0.820000 1.545926 1.000000
0.830000 1.549260 1.000000
0.840000 1.552595 1.000000
0.850000 1.555870 1.000000
0.860000 1.559204 1.000000
0.870000 1.562479 1.000000
0.880000 1.565695 1.000000
0.890000 1.568970 1.000000
0.900000 1.572185 1.000000
0.910000 1.575401 1.000000
0.920000 1.578616 1.000000
0.930000 1.581772 1.000000
0.940000 1.584987 1.000000
0.950000 1.588143 1.000000
0.960000 1.591299 1.000000
0.970000 1.594455 1.000000
0.980000 1.597611 1.000000
0.990000 1.600707 1.000000
1.000000 1.603804 1.000000
1.010000 1.606900 1.000000
1.020000 1.609996 1.000000
1.030000 1.613093 1.000000
1.040000 1.616189 1.000000
1.050000 1.619226 1.000000
1.060000 1.622322 1.000000
1.070000 1.625359 1.000000
1.080000 1.628396 1.000000
1.090000 1.631432 1.000000
1.100000 1.634469 1.000000
1.110000 1.637506 1.000000
1.120000 1.640543 1.000000
1.130000 1.643580 1.000000
1.140000 1.646557 1.000000
1.150000 1.649594 1.000000
1.160000 1.652571 1.000000
1.170000 1.655548 1.000000
1.180000 1.658585 1.000000
1.190000 1.661562 1.000000
1.200000 1.664539 1.000000
1.210000 1.667517 1.000000
1.220000 1.670494 1.000000
1.230000 1.673471 1.000000
1.240000 1.676448 1.000000
1.250000 1.679426 1.000000
1.260000 1.682403 1.000000
1.270000 1.685380 1.000000
1.280000 1.688298 1.000000
1.290000 1.691275 1.000000
1.300000 1.694252 1.000000
1.310000 1.697230 1.000000
1.320000 1.700147 1.000000
1.330000 1.703125 1.000000
1.340000 1.706102 1.000000
1.350000 1.709079 1.000000
1.360000 1.712056 1.000000
1.370000 1.714974 1.000000
1.380000 1.717951 1.000000
1.390000 1.720929 1.000000
1.400000 1.723906 1.000000
1.410000 1.726883 1.000000
1.420000 1.729860 1.000000
1.430000 1.732838 1.000000
1.440000 1.735815 1.000000
1.450000 1.738792 1.000000
1.460000 1.741769 1.000000
1.470000 1.744747 1.000000
1.480000 1.747783 1.000000
1.490000 1.750761 1.000000
1.500000 1.753797 1.000000
1.510000 1.756775 1.000000
1.520000 1.759811 1.000000
1.530000 1.762789 1.000000
1.540000 1.765826 1.000000
1.550000 1.768862 1.000000
1.560000 1.771899 1.000000
1.570000 1.774936 1.000000
1.580000 1.777973 1.000000
1.590000 1.781069 1.000000
1.600000 1.784106 1.000000
1.610000 1.787202 1.000000
1.620000 1.790298 1.000000
1.630000 1.793335 1.000000
1.640000 1.796491 1.000000
1.650000 1.799588 1.000000
